46,6575,44
5544,8635,27
168,2448,63
183,9913,20
1095,129,20
6307,5153,79
5676,6167,58
8558,6282,85
2502,2775,26
2268,2067,72
103,1758,8
9448,9977,38
665,4977,36
6575,5374,5
1829,2144,94
3835,3731,60
1238,1645,60
5509,6659,67
7346,8885,46
733,3016,3
1086,1104,98
1255,7036,71
3651,7552,48
2525,7543,8
8117,9823,17
2701,1964,66
4297,8458,97
3511,191,31
5000,2320,77
1489,5481,71
2139,7131,20
8813,5047,5
388,5703,51
2191,7916,19
2418,2387,61
7606,6988,55
2039,3245,7
7800,6941,46
9310,9750,100
4993,1472,5
1430,2632,100
2874,8192,9
1543,3291,59
6001,4131,70
3035,6126,29
7203,3743,17
5513,5029,38
469,9416,20
3017,214,87
7891,5941,7
4599,7293,27
406,4125,41
9830,935,85
5769,5760,67
3081,942,45
6737,6646,75
3055,7962,64
7237,5166,65
9131,2873,89
9923,2891,68
1502,6162,68
2261,5452,19
5858,1454,68
405,6863,46
9530,4942,68
5569,1152,60
3794,7542,53
2871,520,75
5449,3753,13
7667,4647,24
9681,2665,14
9027,8739,25
6673,3999,82
1670,1839,2
507,910,91
4009,7168,32
4002,6775,16
954,8424,81
702,5378,59
6276,3743,59
6466,9304,18
8178,174,89
6453,3231,51
1971,1480,39
2996,3962,49
4633,264,65
6858,5113,86
677,622,7
7314,2136,95
5229,158,13
2977,3326,59
9752,1721,25
5683,1306,87
215,2223,36
9971,3001,26
6285,4349,22
4159,1157,12
2095,6735,14
8830,343,48
3470,6929,27
883,2094,14
7226,7510,94
4276,3513,35
219,4415,7
6646,4592,85
8869,5986,9
2786,4257,24
5819,4465,54
8350,7209,29
4524,3277,4
9492,3131,33
9339,5405,27
4171,1427,14
6295,253,90
9989,4711,47
6251,1651,41
7968,534,8
257,5889,22
9353,4676,97
2671,6534,40
7098,1355,100
2888,3135,18
1792,9245,30
5493,696,26
8384,9964,96
9568,775,35
3175,6983,36
1659,198,34
4508,1095,23
3492,2709,6
8560,4031,99
6995,6508,34
4900,3699,4
3599,9202,17
2698,4215,43
6859,7938,81
8488,785,10
8527,4384,25
9256,8755,91
5676,8121,65
4240,1697,12
8236,6024,70
983,2671,33
9422,2057,26
5962,420,56
4964,8691,7
2526,4355,100
6457,6135,58
1438,4107,41
4985,1957,84
6126,5358,90
9201,6560,10
4653,142,46
5645,8081,65
1888,4596,71
7291,8876,23
3887,3754,28
9016,9791,2
8948,3994,28
703,3345,36
1547,2321,1
5008,5873,53
6901,8782,90
2049,6249,46
1091,9776,38
7858,1800,80
2172,5430,19
4430,8314,35
6512,4189,7
712,5088,76
9609,8671,27
4295,97,18
8527,6746,36
8869,1287,34
295,3323,81
2230,699,39
5629,1491,79
8054,9376,53
7025,3755,75
7355,5673,21
813,3952,47
4741,1473,74
1126,8830,61
1983,9884,25
8102,3101,33
9997,5017,15
2207,6191,53
3675,2308,65
7367,8586,74
5145,2703,91
97,2394,46
861,99,81
5732,9601,4
8148,8574,98
4345,885,51
4755,3779,38
2275,321,46
1333,3550,19
6905,9478,69
4445,9759,46
7706,1155,22
8594,9379,11
6311,4496,40
5299,623,87
2062,8601,85
7512,6816,78
5200,5990,72
7834,709,28
4549,5858,39
805,603,76
2675,1422,94
3220,7400,73
2492,5195,13
1445,7080,14
1479,4490,14
5251,8513,20
1486,5128,69
3741,9408,98
9428,7695,23
3904,2937,4
5545,684,31
5152,3209,92
1251,605,23
4428,4477,57
5546,7096,51
5769,9033,61
2977,230,1
9180,3052,70
9600,8259,41
116,835,89
3095,2741,7
347,9654,47
7010,9509,45
7091,2394,32
71,6303,16
2010,7334,54
4343,4774,88
3256,9750,55
5645,7713,39
7941,9110,55
8498,763,69
6274,1926,38
8274,8146,41
3090,689,37
1659,7794,67
1960,9581,78
6776,3188,66
5738,8561,64
8534,1713,4
5216,1498,99
7957,9197,6
8225,6746,45
7050,205,56
442,8147,7
5180,8325,6
1482,8193,35
4310,1698,15
9162,6991,15
1760,488,69
7983,6327,86
6214,5246,77
8528,6689,93
10,9902,40
2111,3358,91
5166,3688,30
7810,1821,74
6212,2809,37
6493,3331,77
5417,5080,78
2299,7473,66
3372,225,27
8889,1113,46
3000,7413,44
314,2429,20
853,7721,99
3886,9812,71
9515,9468,95
5287,3109,78
4512,1254,94
6752,4792,84
3088,819,47
137,4735,31
4771,3482,39
8331,7420,52
4033,7442,68
9304,172,22
2707,2633,81
5499,9356,86
7038,7574,81
9674,7474,36
9655,4874,63
5568,5952,63
2160,863,39
1419,8109,41
138,9904,50
7709,6357,64
1745,3124,27
7125,7342,71
698,4042,37
2661,3476,93
443,5807,69
872,9329,82
5707,1997,38
5627,4459,60
2850,1243,65
336,1440,42
8995,9696,6
